resultId,raceId,country,name,grandPrix,driverId,constructorId,number,grid,positionOrder,points,points,laps,time,fastestLapTime,fastestLapSpeed,statusId
353,35,Brazil,"Aut�_dromo Jos̩ Carlos Pace","Brazilian Grand Prix",1,1,22,4,5,4,4,71,38.907,01:14.2,209.177,1
371,36,Australia,"Albert Park Grand Prix Circuit","Australian Grand Prix",1,1,2,4,3,6,6,58,18.595,01:26.4,221.083,1
392,37,Malaysia,"Sepang International Circuit","Malaysian Grand Prix",1,1,2,4,2,8,8,56,17.557,01:36.7,206.355,1
414,38,Bahrain,"Bahrain International Circuit","Bahrain Grand Prix",1,1,2,2,2,8,8,57,2.36,01:34.3,206.674,1
422,38,Bahrain,"Bahrain International Circuit","Bahrain Grand Prix",3,3,16,10,10,0,0,57,+1:29.916,01:35.6,203.893,1
436,39,Spain,"Circuit de Barcelona-Catalunya","Spanish Grand Prix",1,1,2,4,2,8,8,65,6.79,01:22.9,202.205,1
440,39,Spain,"Circuit de Barcelona-Catalunya","Spanish Grand Prix",3,3,16,11,6,3,3,65,59.538,01:23.7,200.231,1
458,40,Monaco,"Circuit de Monaco","Monaco Grand Prix",1,1,2,2,2,8,8,78,4.095,01:15.4,159.528,1
479,41,Canada,"Circuit Gilles Villeneuve","Canadian Grand Prix",1,1,2,1,1,10,10,70,44:11.3,01:16.5,205.239,1
488,41,Canada,"Circuit Gilles Villeneuve","Canadian Grand Prix",3,3,16,7,10,0,0,70,23.984,01:17.2,203.478,1
501,42,USA,"Indianapolis Motor Speedway","United States Grand Prix",1,1,2,1,1,10,10,73,31:10.0,01:13.2,206.101,1
508,42,USA,"Indianapolis Motor Speedway","United States Grand Prix",20,2,10,7,8,1,1,73,67.7,01:13.9,204.316,1
525,43,France,"Circuit de Nevers Magny-Cours","French Grand Prix",1,1,2,2,3,6,6,70,32.153,01:16.6,207.34,1
530,43,France,"Circuit de Nevers Magny-Cours","French Grand Prix",18,11,7,12,8,1,1,70,58.885,01:16.8,206.846,1
531,43,France,"Circuit de Nevers Magny-Cours","French Grand Prix",3,3,16,9,9,0,0,70,+1:08.505,01:17.0,206.199,1
547,44,UK,"Silverstone Circuit","British Grand Prix",1,1,2,1,3,6,6,59,39.373,01:21.7,226.6,1
589,46,Hungary,Hungaroring,"Hungarian Grand Prix",1,1,2,1,1,10,10,70,35:53.0,01:20.2,196.724,1
595,46,Hungary,Hungaroring,"Hungarian Grand Prix",3,3,16,4,7,2,2,70,59.139,01:20.7,195.502,1
615,47,Turkey,"Istanbul Park","Turkish Grand Prix",1,1,2,2,5,4,4,58,45.085,01:28.0,218.464,1
617,47,Turkey,"Istanbul Park","Turkish Grand Prix",3,3,16,8,7,2,2,58,55.778,01:28.5,217.05,1
